shrid2,viirs_annual_min,viirs_annual_max,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,category,year
11-01-018-00071-004779,0.0,0.0,0.0,0.0,67.39865237474442,median-masked,2022
11-01-018-00071-004780,0.0,0.0,0.0,0.0,45.050165409455815,median-masked,2022
11-01-018-00071-004781,0.0,0.0,0.0,0.0,29.1119989232684,median-masked,2022
11-01-018-00071-004782,0.0,0.0,0.0,0.0,35.68871102980484,median-masked,2022
11-01-018-00071-004783,0.0,0.697407066822052,0.0844831826385748,2.126557659646388,25.171372493670788,median-masked,2022
11-01-018-00071-004784,0.0,0.7029308676719666,0.0974030795561894,5.296686484249451,54.37904538935982,median-masked,2022
11-01-018-00071-004785,0.0,3.1300435066223145,0.4373370832766359,36.91942649374468,84.41869648266584,median-masked,2022
11-01-018-00071-004786,0.0,0.5293800234794617,0.0025200798142179,0.1259543332405424,49.98029527871404,median-masked,2022
11-01-018-00071-004787,0.0,0.0,0.0,0.0,120.43801535200328,median-masked,2022
11-01-018-00071-004788,0.0,0.5968466997146606,0.0357133522959902,3.162729512336083,88.55874089118151,median-masked,2022
11-01-018-00071-004789,0.0,0.0,0.0,0.0,47.38298069142115,median-masked,2022
11-01-018-00071-004790,0.0,0.0,0.0,0.0,39.20667378375947,median-masked,2022
11-01-018-00071-004791,0.0,0.0,0.0,0.0,49.57058277005672,median-masked,2022
11-01-018-00071-004792,0.0,0.0,0.0,0.0,41.708361603086814,median-masked,2022
11-01-018-00071-004793,0.0,0.0,0.0,0.0,62.24091766381753,median-masked,2022
11-01-018-00071-004794,0.0,0.0,0.0,0.0,41.1720494623296,median-masked,2022
11-01-018-00071-004795,0.0,0.0,0.0,0.0,103.76327378262069,median-masked,2022
11-01-018-00071-004796,0.0,0.5127983689308167,0.0102021207038429,0.9715758713867992,95.23273636831436,median-masked,2022
11-01-018-00071-004797,0.0,0.0,0.0,0.0,18.32178328931332,median-masked,2022
11-01-018-00071-004798,0.0,0.7226129770278931,0.277047584992445,5.489246156729741,19.81336945015937,median-masked,2022
11-01-018-00071-004799,0.0,0.7182466983795166,0.140295085624944,7.020449068594854,50.040591495577246,median-masked,2022
11-01-018-00071-004800,0.0,0.0,0.0,0.0,39.98802960384637,median-masked,2022
11-01-018-00071-004801,0.0,0.0,0.0,0.0,372.46346488512063,median-masked,2022
11-01-019-00072-004802,0.0,0.7651298642158508,0.04777046597176,7.666464477918029,160.48544476099778,median-masked,2022
11-01-019-00072-004803,0.0,0.882469892501831,0.1146235090370558,9.690350477700454,84.54068941972218,median-masked,2022
11-01-019-00072-004804,0.0,0.7231504917144775,0.053495559580926,0.341118503641298,6.376576043199748,median-masked,2022
11-01-019-00072-004805,0.0,1.0307477712631226,0.3927938713747134,25.82143431627372,65.737874743063,median-masked,2022
11-01-019-00072-004806,0.0,1.0307477712631226,0.4412419661747305,5.111707652438207,11.584817502181975,median-masked,2022
11-01-019-00072-004807,0.0,1.0307477712631226,0.4352483494885563,8.711922125348783,20.01597969431896,median-masked,2022
11-01-019-00072-004808,0.0,0.6021831035614014,0.0156103990244003,0.1356797132484537,8.691623643724597,median-masked,2022
11-01-019-00072-004809,0.0,1.0244276523590088,0.1912249927399064,8.240469111807274,43.09305490739644,median-masked,2022
11-01-019-00072-004810,0.0,0.7466678023338318,0.0770887392129451,1.525876483401852,19.79376623590724,median-masked,2022
11-01-019-00072-004811,0.0,0.7094463109970093,0.3032446523435673,1.138044881839555,3.7528934906004,median-masked,2022
11-01-019-00072-004812,0.0,11.49236297607422,0.7035489842074004,110.24353244498874,156.69631385963294,median-masked,2022
11-01-019-00072-004813,0.0,1.2074228525161743,0.0976834590505259,13.429111040158384,137.47579345252598,median-masked,2022
