shrid2,road_award_date_new,road_award_date_upg,road_comp_date_new,road_comp_date_upg,road_comp_date_stip_new,road_comp_date_stip_upg,road_sanc_year_new,road_sanc_year_upg,road_length_new,road_length_upg,road_cost_new,road_cost_upg,road_cost_sanc_new,road_cost_sanc_upg,road_cost_state_new,road_cost_state_upg,road_name_new,road_name_upg
11-01-009-00040-002719,,,,,,,,,,,,,,,,,,
11-01-009-00040-002720,,,,,,,,,,,,,,,,,,
11-01-009-00040-002721,,,,,,,,,,,,,,,,,,
11-01-009-00040-002722,,,,,,,,,,,,,,,,,,
11-01-009-00040-002723,,,,,,,,,,,,,,,,,,
11-01-009-00040-002724,,,,,,,,,,,,,,,,,,
11-01-009-00040-002725,,,,,,,,,,,,,,,,,,
11-01-009-00040-002726,,,,,,,,,,,,,,,,,,
11-01-009-00040-002727,,,,,,,,,,,,,,,,,,
11-01-009-00041-002728,,,,,,,,,,,,,,,,,,
11-01-009-00041-002729,,,,,,,,,,,,,,,,,,
11-01-009-00041-002730,,,,,,,,,,,,,,,,,,
11-01-009-00041-002731,,,,,,,,,,,,,,,,,,
11-01-009-00041-002733,2008-07-27,,2012-10-01,,2010-02-01,,2006.0,,8.0,,353.75,,439.7,,0.0,,Ahmsharief - Khurshipora Bathoo,
11-01-009-00041-002734,,,,,,,,,,,,,,,,,,
11-01-009-00041-002735,,,,,,,,,,,,,,,,,,
11-01-009-00041-002736,,,,,,,,,,,,,,,,,,
11-01-009-00041-002737,2008-07-27,,2012-10-01,,2010-02-01,,2006.0,,8.0,,353.75,,439.7,,0.0,,Ahmsharief - Khurshipora Bathoo,
11-01-009-00041-002738,,,,,,,,,,,,,,,,,,
11-01-009-00041-002739,,,,,,,,,,,,,,,,,,
11-01-009-00041-002740,,,,,,,,,,,,,,,,,,
11-01-009-00041-002741,,,,,,,,,,,,,,,,,,
11-01-009-00041-002742,,,,,,,,,,,,,,,,,,
11-01-009-00041-002743,,,,,,,,,,,,,,,,,,
11-01-009-00041-002744,,,,,,,,,,,,,,,,,,
11-01-009-00041-002745,,,,,,,,,,,,,,,,,,
11-01-009-00041-002746,,2009-08-20,,2013-05-01,,2011-02-20,,2006.0,,4.86,,224.44,,249.55,,0.0,,Aloosa - Quil Muqam
11-01-009-00041-002747,2008-10-11,,2011-05-01,,2009-07-11,,2003.0,,2.0,,79.55,,69.06,,0.0,,BINLIPORA TO CHACHINAR,
11-01-009-00041-002748,,,,,,,,,,,,,,,,,,
11-01-009-00041-002749,,,,,,,,,,,,,,,,,,
11-01-009-00041-002750,,,,,,,,,,,,,,,,,,
11-01-009-00041-002751,,,,,,,,,,,,,,,,,,
11-01-009-00041-002752,,,,,,,,,,,,,,,,,,
11-01-009-00041-002753,,,,,,,,,,,,,,,,,,
11-01-009-00041-002754,,,,,,,,,,,,,,,,,,
11-01-009-00041-002755,2011-04-23,,,,,,2007.0,,,,,,,,,,,
11-01-009-00041-002756,2009-07-04,,,,,,2006.0,,,,,,,,,,,
11-01-009-00041-002757,,,,,,,,,,,,,,,,,,
11-01-009-00041-002758,,,,,,,,,,,,,,,,,,
11-01-009-00041-002759,,,,,,,,,,,,,,,,,,
11-01-009-00041-002760,,,,,,,,,,,,,,,,,,
11-01-009-00041-002761,,,,,,,,,,,,,,,,,,
11-01-009-00041-002762,,,,,,,,,,,,,,,,,,
11-01-009-00041-002763,,,,,,,,,,,,,,,,,,
11-01-009-00041-002764,,,,,,,,,,,,,,,,,,
11-01-009-00041-002765,,,,,,,,,,,,,,,,,,
11-01-009-00041-002766,2011-05-19,,,,,,2001.0,,,,,,,,,,,
11-01-009-00041-002767,2011-04-18,,,,,,2007.0,,,,,,,,,,,
11-01-009-00041-002768,,,,,,,,,,,,,,,,,,
11-01-009-00041-002769,,,,,,,,,,,,,,,,,,
11-01-009-00042-002770,2008-09-27,,2013-10-01,,2010-03-27,,2006.0,,4.5,,193.59,,218.11,,0.0,,Gund Preng - Bakshibal,
11-01-009-00042-002771,,,,,,,,,,,,,,,,,,
11-01-009-00042-002772,,,,,,,,,,,,,,,,,,
11-01-009-00042-002773,2008-10-29,,2011-06-01,,2009-10-29,,2006.0,,3.0,,84.8,,90.44,,0.0,,Hajin - Khuserpora,
11-01-009-00042-002774,,,,,,,,,,,,,,,,,,
11-01-009-00042-002775,,2011-11-26,,2012-11-01,,2013-05-26,,2006.0,,7.22,,358.77,,362.27,,0.0,,Hajin - Ajas B
11-01-009-00042-002776,,,,,,,,,,,,,,,,,,
11-01-009-00042-002777,2011-04-09,2011-11-26,2012-11-01,2012-11-01,,2013-05-26,2006.0,2006.0,,7.22,,358.77,,362.27,,0.0,,Hajin - Ajas B
11-01-009-00042-002778,,,,,,,,,,,,,,,,,,
11-01-009-00042-002780,,,,,,,,,,,,,,,,,,
11-01-009-00042-002781,,,,,,,,,,,,,,,,,,
11-01-009-00042-002782,,,,,,,,,,,,,,,,,,
11-01-009-00042-002783,,,,,,,,,,,,,,,,,,
11-01-009-00042-002784,,,,,,,,,,,,,,,,,,
11-01-009-00042-002785,,,,,,,,,,,,,,,,,,
11-01-009-00042-002786,,,,,,,,,,,,,,,,,,
11-01-009-00042-002787,,,,,,,,,,,,,,,,,,
11-01-009-00042-002788,,,,,,,,,,,,,,,,,,
11-01-009-00042-002789,,,,,,,,,,,,,,,,,,
11-01-009-00042-002790,,,,,,,,,,,,,,,,,,
11-01-009-00042-002791,,,,,,,,,,,,,,,,,,
11-01-009-00042-002792,,,,,,,,,,,,,,,,,,
11-01-009-00042-002793,,,,,,,,,,,,,,,,,,
11-01-009-00042-002794,,,,,,,,,,,,,,,,,,
11-01-009-00042-002795,,,,,,,,,,,,,,,,,,
11-01-009-00042-002796,,,,,,,,,,,,,,,,,,
11-01-009-00042-002797,,,,,,,,,,,,,,,,,,
11-01-009-00042-002798,,,,,,,,,,,,,,,,,,
11-01-009-00042-002799,,,,,,,,,,,,,,,,,,
11-01-009-00042-002800,,,,,,,,,,,,,,,,,,
11-01-009-00042-002801,,,,,,,,,,,,,,,,,,
11-01-009-00042-002802,,,,,,,,,,,,,,,,,,
11-01-009-00042-002803,,,,,,,,,,,,,,,,,,
11-01-009-00042-002804,,,,,,,,,,,,,,,,,,
11-01-009-00042-002805,,,,,,,,,,,,,,,,,,
11-01-009-00042-002806,,,,,,,,,,,,,,,,,,
11-01-009-00042-002807,2008-02-13,,,,,,2005.0,,,,,,,,,,,
11-01-009-00042-002808,,,,,,,,,,,,,,,,,,
11-01-009-00042-002809,,,,,,,,,,,,,,,,,,
11-01-009-00042-002810,,,,,,,,,,,,,,,,,,
11-01-009-00042-002811,,,,,,,,,,,,,,,,,,
11-01-009-00042-002812,,,,,,,,,,,,,,,,,,
11-01-009-00042-002813,,,,,,,,,,,,,,,,,,
11-01-009-00042-002814,,,,,,,,,,,,,,,,,,
11-01-009-00042-002815,,,,,,,,,,,,,,,,,,
11-01-009-00042-002816,,,,,,,,,,,,,,,,,,
11-01-009-00042-002817,,,,,,,,,,,,,,,,,,
11-01-009-00042-002818,,2011-11-26,,2012-11-01,,2013-05-26,,2006.0,,7.22,,358.77,,362.27,,0.0,,Hajin - Ajas B
11-01-009-00042-002819,,,,,,,,,,,,,,,,,,
11-01-009-00042-002820,,,,,,,,,,,,,,,,,,
11-01-009-00042-002821,,,,,,,,,,,,,,,,,,
11-01-010-00043-002822,2011-02-09,,2013-09-01,,2012-08-08,,2007.0,,4.83,,175.32,,313.77,,0.0,,Khimber - Takia Sangreshi,
11-01-010-00043-002823,2010-08-12,,2012-03-01,,2011-08-26,,2001.0,,5.51,,150.57,,148.81,,0.0,,Checki Dara to Brandkani,
11-01-010-00043-002824,,,,,,,,,,,,,,,,,,
11-01-010-00043-002825,2011-05-09,,2013-01-01,,2012-05-08,,2007.0,,0.8,,20.57,,25.14,,0.0,,New Thead A - Chowpan Mohalla,
11-01-010-00043-002826,,,,,,,,,,,,,,,,,,
11-01-010-00043-002827,,,,,,,,,,,,,,,,,,
11-01-010-00043-002828,,,,,,,,,,,,,,,,,,
11-01-010-00043-002829,,,,,,,,,,,,,,,,,,
11-01-010-00043-002830,,,,,,,,,,,,,,,,,,
11-01-010-00043-800013,,,,,,,,,,,,,,,,,,
11-01-010-00044-002831,,,,,,,,,,,,,,,,,,
11-01-010-00044-002832,,,,,,,,,,,,,,,,,,
11-01-010-00044-002834,,,,,,,,,,,,,,,,,,
11-01-010-00044-002835,,,,,,,,,,,,,,,,,,
11-01-011-00045-002842,,,,,,,,,,,,,,,,,,
11-01-011-00045-002843,,,,,,,,,,,,,,,,,,
11-01-011-00045-002844,,,,,,,,,,,,,,,,,,
11-01-011-00045-002845,,,,,,,,,,,,,,,,,,
11-01-011-00045-002846,,,,,,,,,,,,,,,,,,
11-01-011-00045-002847,,,,,,,,,,,,,,,,,,
11-01-011-00045-002848,,,,,,,,,,,,,,,,,,
11-01-011-00045-002849,,,,,,,,,,,,,,,,,,
11-01-011-00045-002850,,,,,,,,,,,,,,,,,,
11-01-011-00045-002851,,,,,,,,,,,,,,,,,,
11-01-011-00045-002852,,,,,,,,,,,,,,,,,,
11-01-011-00045-002853,,,,,,,,,,,,,,,,,,
11-01-011-00045-002854,,,,,,,,,,,,,,,,,,
11-01-011-00045-002855,,,,,,,,,,,,,,,,,,
11-01-011-00045-002856,,,,,,,,,,,,,,,,,,
11-01-011-00045-002857,,,,,,,,,,,,,,,,,,
11-01-011-00045-002858,,,,,,,,,,,,,,,,,,
11-01-011-00045-002859,,,,,,,,,,,,,,,,,,
11-01-011-00045-002860,,,,,,,,,,,,,,,,,,
11-01-011-00045-002861,,,,,,,,,,,,,,,,,,
11-01-011-00045-002862,,,,,,,,,,,,,,,,,,
11-01-011-00045-002863,,,,,,,,,,,,,,,,,,
11-01-011-00045-002864,,,,,,,,,,,,,,,,,,
11-01-011-00045-002865,,,,,,,,,,,,,,,,,,
11-01-011-00045-002866,,,,,,,,,,,,,,,,,,
11-01-011-00045-002867,,,,,,,,,,,,,,,,,,
11-01-011-00045-002868,,,,,,,,,,,,,,,,,,
11-01-011-00045-002869,,,,,,,,,,,,,,,,,,
11-01-011-00045-002870,,,,,,,,,,,,,,,,,,
11-01-011-00045-002871,,,,,,,,,,,,,,,,,,
11-01-011-00045-002872,,,,,,,,,,,,,,,,,,
11-01-011-00045-002873,,,,,,,,,,,,,,,,,,
11-01-011-00045-002874,,,,,,,,,,,,,,,,,,
11-01-011-00045-002875,,,,,,,,,,,,,,,,,,
11-01-011-00045-002876,,,,,,,,,,,,,,,,,,
11-01-011-00045-002877,,,,,,,,,,,,,,,,,,
11-01-011-00045-002878,,,,,,,,,,,,,,,,,,
11-01-011-00045-002879,,,,,,,,,,,,,,,,,,
11-01-011-00045-002880,,,,,,,,,,,,,,,,,,
11-01-011-00045-002881,,,,,,,,,,,,,,,,,,
11-01-011-00045-002882,,,,,,,,,,,,,,,,,,
11-01-011-00045-002883,,,,,,,,,,,,,,,,,,
11-01-011-00045-002957,,,,,,,,,,,,,,,,,,
11-01-011-00046-002884,2005-05-02,,2009-09-01,,2006-11-14,,2003.0,,5.5,,221.72,,226.89,,0.0,,ARAHAMA TO ANDERWAN,
11-01-011-00046-002885,,,,,,,,,,,,,,,,,,
11-01-011-00046-002886,,,,,,,,,,,,,,,,,,
11-01-011-00046-002887,2011-02-08,,,,,,2007.0,,,,,,,,,,,
11-01-011-00046-002888,,,,,,,,,,,,,,,,,,
11-01-011-00046-002889,2010-11-08,,,,,,2007.0,,,,,,,,,,,
11-01-011-00046-002890,,2010-11-08,,,,,,2007.0,,,,,,,,,,
11-01-011-00046-002891,,,,,,,,,,,,,,,,,,
11-01-011-00046-002892,,,,,,,,,,,,,,,,,,
11-01-011-00046-002893,,,,,,,,,,,,,,,,,,
11-01-011-00046-002894,2011-03-19,,2013-03-01,,2012-03-18,,2007.0,,1.3,,61.7,,91.18,,0.0,,NHW - Barwalla,
11-01-011-00046-002895,,2010-11-08,,,,,,2007.0,,,,,,,,,,
11-01-011-00046-002896,,,,,,,,,,,,,,,,,,
11-01-011-00046-002897,2009-02-02,,,,,,2006.0,,,,,,,,,,,
11-01-011-00046-002898,2008-08-10,,2011-03-01,,2010-02-16,,2006.0,,5.0,,203.48,,219.68,,0.0,,Khanan - Gujarpati,
11-01-011-00046-002899,,2009-02-02,,,,,,2006.0,,,,,,,,,,
11-01-011-00046-002900,,,,,,,,,,,,,,,,,,
11-01-011-00046-002901,,,,,,,,,,,,,,,,,,
11-01-011-00046-002902,,,,,,,,,,,,,,,,,,
11-01-011-00046-002903,,,,,,,,,,,,,,,,,,
11-01-011-00046-002904,,,,,,,,,,,,,,,,,,
11-01-011-00046-002905,2007-01-23,,2012-05-01,,2008-07-22,,2004.0,,7.45,,121.64,,247.53,,0.0,,Hayan - Akhal,
11-01-011-00046-002906,2007-01-23,,2012-05-01,,2008-07-22,,2004.0,,7.45,,121.64,,247.53,,0.0,,Hayan - Akhal,
11-01-011-00046-002907,,,,,,,,,,,,,,,,,,
11-01-011-00046-002908,2008-09-04,,2010-05-01,,2009-09-19,,2006.0,,3.4,,110.44,,131.36,,0.0,,Satrina - Kawacherwan,
11-01-011-00046-002909,2013-05-08,,,,,,2005.0,,,,,,,,,,,
11-01-011-00046-002910,2007-01-23,,2012-05-01,,2008-07-22,,2004.0,,7.45,,121.64,,247.53,,0.0,,Hayan - Akhal,
11-01-011-00046-002911,2011-08-18,,,,,,2007.0,,,,,,,,,,,
11-01-011-00046-002912,2004-07-08,,2009-08-01,,2005-07-22,,2001.0,,5.0,,134.05,,184.69,,0.0,,Ganiwan to Yachhama,
11-01-011-00046-002913,2004-07-08,,2009-08-01,,2005-07-22,,2001.0,,5.0,,134.05,,184.69,,0.0,,Ganiwan to Yachhama,
11-01-011-00046-002914,,,,,,,,,,,,,,,,,,
11-01-011-00046-002915,2010-06-05,,,,,,2005.0,,,,,,,,,,,
11-01-011-00046-002916,2006-10-24,,2012-05-01,,2008-04-23,,2004.0,,3.0,,182.21,,188.64,,0.0,,NHW - Gujarpati Road,
11-01-011-00046-002917,2010-12-29,,2013-03-01,,2012-12-28,,2007.0,,1.5,,47.99,,96.25,,0.0,,l035 - Sayeed Pati,
11-01-011-00046-002918,2007-09-19,,,,,,2005.0,,,,,,,,,,,
11-01-011-00046-002919,2010-06-05,,,,,,2005.0,,,,,,,,,,,
11-01-011-00046-002920,2011-05-11,,,,,,2007.0,,,,,,,,,,,
11-01-011-00046-002921,2011-02-15,,,,,,2007.0,,,,,,,,,,,
11-01-011-00046-002922,2011-02-08,,,,,,2007.0,,,,,,,,,,,
11-01-011-00046-002923,,,,,,,,,,,,,,,,,,
11-01-011-00046-002924,2011-04-09,,,,,,2007.0,,,,,,,,,,,
11-01-011-00046-002925,,,,,,,,,,,,,,,,,,
11-01-011-00047-002926,2011-02-15,,2013-01-01,,2012-02-14,,2007.0,,2.3,,103.2,,159.29,,0.0,,Gutli Bagh - New Badti Banger,
11-01-011-00047-002927,,,,,,,,,,,,,,,,,,
11-01-011-00047-002928,2011-01-29,,,,,,2007.0,,,,,,,,,,,
11-01-011-00047-002929,2011-02-15,,2013-03-01,,2012-02-14,,2007.0,,1.8,,82.3,,123.61,,0.0,,Nunner - Kawbagh,
11-01-011-00047-002930,2004-02-19,,2006-11-01,,2005-03-01,,2001.0,,1.21,,28.17,,36.85,,0.0,,Shalubugh to Chandun,
11-01-011-00047-002931,,,,,,,,,,,,,,,,,,
11-01-011-00047-002932,,,,,,,,,,,,,,,,,,
11-01-011-00047-002933,2011-02-15,,2014-03-01,,2012-02-14,,2007.0,,1.35,,60.56,,87.48,,0.0,,Baderkund - Bibsaheb,
11-01-011-00047-002934,2008-11-15,,2010-09-01,,2009-11-30,,2006.0,,2.5,,66.64,,72.63,,0.0,,Guzerbal - Dedrambagh,
11-01-011-00047-002935,,,,,,,,,,,,,,,,,,
11-01-011-00047-002936,2011-09-17,,,,,,2007.0,,,,,,,,,,,
11-01-011-00047-002937,,,,,,,,,,,,,,,,,,
11-01-011-00047-002939,,,,,,,,,,,,,,,,,,
11-01-011-00047-002940,,,,,,,,,,,,,,,,,,
11-01-011-00047-002941,,,,,,,,,,,,,,,,,,
11-01-011-00047-002942,,,,,,,,,,,,,,,,,,
11-01-011-00047-002943,,,,,,,,,,,,,,,,,,
11-01-011-00047-002944,2007-12-03,,2011-08-01,,2009-06-16,,2005.0,,2.42,,144.41,,190.44,,0.0,,Rabitar Rakhi - Rabitar Gundiroshan,
11-01-011-00047-002945,,,,,,,,,,,,,,,,,,
11-01-011-00047-002946,,,,,,,,,,,,,,,,,,
11-01-011-00047-002947,,,,,,,,,,,,,,,,,,
11-01-011-00047-002948,,,,,,,,,,,,,,,,,,
11-01-011-00047-002949,,,,,,,,,,,,,,,,,,
11-01-011-00047-002950,2011-05-09,,2013-03-01,,2012-05-08,,2007.0,,1.3,,65.54,,90.44,,0.0,,Shallabug - Tulla mohalla,
11-01-011-00047-002952,,,,,,,,,,,,,,,,,,
11-01-011-00047-002953,,,,,,,,,,,,,,,,,,
11-01-011-00047-002954,,2002-09-19,,2003-06-01,,2003-10-01,,2000.0,,3.1,,33.68,,33.43,,0.0,,Kachan to Gund Rehman
11-01-011-00047-002955,,,,,,,,,,,,,,,,,,
11-01-011-00047-002956,,,,,,,,,,,,,,,,,,
11-01-011-00047-002958,,,,,,,,,,,,,,,,,,
11-01-011-00047-800015,,,,,,,,,,,,,,,,,,
11-01-012-00048-002959,,,,,,,,,,,,,,,,,,
11-01-012-00048-002960,2008-11-01,,2010-10-01,,2009-11-11,,2006.0,,4.6,,159.6,,184.12,,0.0,,Khrew Bathan Road Km3rd RD800 - Zintrag Nagander,
11-01-012-00048-002961,2008-11-01,,2010-10-01,,2009-11-11,,2006.0,,4.6,,159.6,,184.12,,0.0,,Khrew Bathan Road Km3rd RD800 - Zintrag Nagander,
11-01-012-00048-002962,2004-01-31,,2006-11-01,,2008-03-31,,2001.0,,1.35,,56.48,,57.73,,0.0,,Ismail Colony to Sathpokhran,
11-01-012-00048-002963,2008-07-23,,2010-11-01,,2009-05-02,,2006.0,,1.1,,53.13,,61.62,,0.0,,Wuyan - Banglapora,
11-01-012-00048-002964,,,,,,,,,,,,,,,,,,
11-01-012-00048-002965,,,,,,,,,,,,,,,,,,
11-01-012-00048-002966,,,,,,,,,,,,,,,,,,
11-01-012-00048-002967,,,,,,,,,,,,,,,,,,
11-01-012-00048-002969,,,,,,,,,,,,,,,,,,
11-01-012-00048-002971,,,,,,,,,,,,,,,,,,
11-01-012-00048-002972,,,,,,,,,,,,,,,,,,
11-01-012-00048-002973,2011-03-28,,2012-12-01,,2012-04-08,,2007.0,,1.0,,30.98,,50.27,,0.0,,Pampore Wuyan Km 7th RD10 - Dusoo,
11-01-012-00048-002974,2008-07-28,,2009-09-01,,2009-02-19,,2006.0,,1.5,,35.52,,41.05,,0.0,,Pampore Wuyan Road (T01) Km7th RD 750 - Androosa,
11-01-012-00048-002975,2011-06-01,,2012-12-01,,2012-06-10,,2007.0,,1.0,,37.62,,64.04,,0.0,,Pampore Wuyan Road Km 7th RD 750 - Gundbal,
11-01-012-00048-002976,,,,,,,,,,,,,,,,,,
11-01-012-00048-002977,2007-03-17,,2009-04-01,,2007-12-27,,2004.0,,1.75,,44.08,,46.71,,0.0,,Ladhoo - Mandakpal,
11-01-012-00048-002978,2007-03-17,,2007-10-01,,2007-12-27,,2004.0,,0.9,,23.02,,27.87,,0.0,,Ladhoo - Batapora,
11-01-012-00048-002979,,,,,,,,,,,,,,,,,,
11-01-012-00048-002980,2008-07-23,2002-09-28,2009-08-01,2004-03-01,2009-08-02,2007-10-31,2006.0,2000.0,2.25,1.3,108.78,26.67,110.41,26.67,0.0,0.0,,Samboora to Bujibagh
11-01-012-00048-002981,,,,,,,,,,,,,,,,,,
11-01-012-00048-002982,,,,,,,,,,,,,,,,,,
11-01-012-00048-002983,2008-07-23,,2009-03-01,,2009-02-02,,2006.0,,1.5,,34.69,,39.5,,0.0,,Lethpora - Pethpora,
11-01-012-00049-002985,,,,,,,,,,,,,,,,,,
11-01-012-00049-002986,,,,,,,,,,,,,,,,,,
11-01-012-00049-002987,,,,,,,,,,,,,,,,,,
11-01-012-00049-002988,2008-08-02,,2008-12-01,,2009-05-12,,2006.0,,1.5,,44.05,,58.3,,0.0,,T06 - Shahbad Pain,
11-01-012-00049-002989,,,,,,,,,,,,,,,,,,
11-01-012-00049-002990,,,,,,,,,,,,,,,,,,
11-01-012-00049-002991,,,,,,,,,,,,,,,,,,
11-01-012-00049-002992,,,,,,,,,,,,,,,,,,
11-01-012-00049-002993,,,,,,,,,,,,,,,,,,
11-01-012-00049-002994,2007-03-17,,2007-11-01,,2008-03-27,,2004.0,,4.0,,123.89,,126.42,,0.0,,Km 3rd RD 550 M of Noorpora-Baigund to Sail via Doonigung,
11-01-012-00049-002995,,,,,,,,,,,,,,,,,,
11-01-012-00049-002996,,,,,,,,,,,,,,,,,,
11-01-012-00049-002997,,,,,,,,,,,,,,,,,,
11-01-012-00049-002998,,,,,,,,,,,,,,,,,,
11-01-012-00049-002999,2008-11-04,,2011-07-01,,2009-11-14,,2006.0,,1.75,,102.33,,146.24,,0.0,,Kadalbal - Charligund,
11-01-012-00049-003000,2007-03-17,,2007-11-01,,2008-03-27,,2004.0,,4.0,,123.89,,126.42,,0.0,,Km 3rd RD 550 M of Noorpora-Baigund to Sail via Doonigung,
11-01-012-00049-003001,,,,,,,,,,,,,,,,,,
11-01-012-00049-003002,2007-03-17,,2007-08-01,,2007-09-27,,2004.0,,0.75,,12.19,,17.12,,0.0,,T01 Km 5th RD 600RM - Kanlibagh,
11-01-012-00049-003003,,,,,,,,,,,,,,,,,,
11-01-012-00049-003004,2011-02-14,,2011-12-01,,2012-02-24,,2007.0,,2.35,,62.52,,97.62,,0.0,,Padgampora - Agohanjipora,
11-01-012-00049-003005,,,,,,,,,,,,,,,,,,
11-01-012-00049-003006,,,,,,,,,,,,,,,,,,
11-01-012-00049-003007,2007-03-17,,2009-04-01,,2007-09-27,,2004.0,,1.5,,48.5,,49.89,,0.0,,Padgampora - Larkipora,
11-01-012-00049-003008,,,,,,,,,,,,,,,,,,
11-01-012-00049-003009,,,,,,,,,,,,,,,,,,
11-01-012-00049-003010,2005-07-08,,2007-09-01,,2007-10-01,,2003.0,,4.43,,169.02,,176.56,,0.0,,Chandgam - Banderpora,
11-01-012-00049-003011,,,,,,,,,,,,,,,,,,
11-01-012-00049-003012,,,,,,,,,,,,,,,,,,
11-01-012-00049-003013,,,,,,,,,,,,,,,,,,
11-01-012-00049-003014,,,,,,,,,,,,,,,,,,
11-01-012-00049-003016,,,,,,,,,,,,,,,,,,
11-01-012-00049-003017,,,,,,,,,,,,,,,,,,
11-01-012-00049-003018,,,,,,,,,,,,,,,,,,
11-01-012-00049-003020,,,,,,,,,,,,,,,,,,
11-01-012-00049-003021,,,,,,,,,,,,,,,,,,
11-01-012-00049-003022,,,,,,,,,,,,,,,,,,
11-01-012-00049-003023,,,,,,,,,,,,,,,,,,
11-01-012-00049-003024,2012-08-08,,2013-10-01,,2013-06-01,,2005.0,,1.13,,82.37,,89.31,,0.0,,Kawni - Bandina,
11-01-012-00049-003025,2012-08-09,,2012-12-01,,2013-06-01,,2005.0,,1.25,,66.39,,72.9,,0.0,,Udipora - Bachipora,
11-01-012-00049-003026,,,,,,,,,,,,,,,,,,
11-01-012-00049-003027,,,,,,,,,,,,,,,,,,
11-01-012-00049-003029,,,,,,,,,,,,,,,,,,
11-01-012-00050-003031,,,,,,,,,,,,,,,,,,
11-01-012-00050-003032,,,,,,,,,,,,,,,,,,
11-01-012-00050-003033,,,,,,,,,,,,,,,,,,
11-01-012-00050-003034,,,,,,,,,,,,,,,,,,
11-01-012-00050-003035,,,,,,,,,,,,,,,,,,
11-01-012-00050-003036,2011-04-15,,,,,,2007.0,,,,,,,,,,,
11-01-012-00050-003037,,2002-03-14,,2004-03-01,,2007-03-31,,2000.0,,1.01,,17.51,,17.52,,0.0,,Satura to Sofigund Khargund
11-01-012-00050-003038,,,,,,,,,,,,,,,,,,
11-01-012-00050-003039,,,,,,,,,,,,,,,,,,
11-01-012-00050-003040,2011-04-30,,2012-05-01,,2012-05-10,,2007.0,,3.25,,97.79,,141.09,,0.0,,T07 - Wuthing,
11-01-012-00050-003041,2011-04-30,,2012-05-01,,2012-05-10,,2007.0,,3.25,,97.79,,141.09,,0.0,,T07 - Wuthing,
11-01-012-00050-003042,,,,,,,,,,,,,,,,,,
11-01-012-00050-003043,,,,,,,,,,,,,,,,,,
11-01-012-00050-003044,,,,,,,,,,,,,,,,,,
11-01-012-00050-003045,,,,,,,,,,,,,,,,,,
11-01-012-00050-003046,,,,,,,,,,,,,,,,,,
11-01-012-00050-003047,,,,,,,,,,,,,,,,,,
11-01-012-00050-003048,,,,,,,,,,,,,,,,,,
11-01-012-00050-003049,2013-03-12,,,,,,2012.0,,,,,,,,,,,
11-01-012-00050-003050,2008-10-13,,2010-12-01,,2010-04-23,,2006.0,,5.63,,223.19,,225.08,,0.0,,Lalpora - Dodimarg,
11-01-012-00050-003051,2003-07-19,,,,,,2001.0,,,,,,,,,,,
11-01-012-00050-003052,,,,,,,,,,,,,,,,,,
11-01-012-00050-003053,2008-10-07,,2009-06-01,,2010-04-17,,2006.0,,2.5,,227.72,,228.37,,0.0,,Km4th of T01 - Nahyer,
11-01-012-00050-003054,2008-10-07,,2009-06-01,,2010-04-17,,2006.0,,2.5,,227.72,,228.37,,0.0,,Km4th of T01 - Nahyer,
11-01-012-00050-003055,,,,,,,,,,,,,,,,,,
11-01-012-00050-003056,,,,,,,,,,,,,,,,,,
11-01-012-00050-003057,,,,,,,,,,,,,,,,,,
11-01-012-00050-003058,,,,,,,,,,,,,,,,,,
11-01-012-00050-003059,,,,,,,,,,,,,,,,,,
11-01-012-00050-003060,,,,,,,,,,,,,,,,,,
11-01-012-00050-003061,,,,,,,,,,,,,,,,,,
11-01-012-00050-003062,,,,,,,,,,,,,,,,,,
11-01-012-00050-003063,,,,,,,,,,,,,,,,,,
11-01-012-00050-003064,2008-08-20,,2009-06-01,,2009-05-30,,2006.0,,1.5,,42.58,,60.38,,0.0,,T06 - Lalgam,
11-01-012-00050-003065,,,,,,,,,,,,,,,,,,
11-01-012-00050-003066,2008-08-20,,2009-05-01,,2009-03-02,,2006.0,,1.0,,29.44,,36.73,,0.0,,Nowdal - Gulabbagh Wanibathu,
11-01-012-00050-003067,,,,,,,,,,,,,,,,,,
11-01-012-00050-003068,,,,,,,,,,,,,,,,,,
11-01-012-00050-003069,,,,,,,,,,,,,,,,,,
11-01-012-00050-003070,,,,,,,,,,,,,,,,,,
11-01-012-00050-003071,,,,,,,,,,,,,,,,,,
11-01-012-00050-003072,,,,,,,,,,,,,,,,,,
11-01-012-00050-003073,,,,,,,,,,,,,,,,,,
11-01-012-00050-003074,,,,,,,,,,,,,,,,,,
11-01-012-00050-003075,2007-01-10,,2007-09-01,,2007-10-20,,2004.0,,2.0,,57.41,,70.45,,0.0,,Batnoor - Karmullah,
11-01-012-00050-003076,2008-08-21,,2010-11-01,,2010-03-01,,2006.0,,5.5,,312.26,,320.89,,0.0,,Satura - Hajinor,
11-01-012-00050-003077,,,,,,,,,,,,,,,,,,
11-01-012-00050-003078,,,,,,,,,,,,,,,,,,
11-01-012-00050-003079,,,,,,,,,,,,,,,,,,
11-01-012-00050-003080,,,,,,,,,,,,,,,,,,
11-01-012-00050-003081,,,,,,,,,,,,,,,,,,
11-01-012-00050-003082,,,,,,,,,,,,,,,,,,
11-01-012-00050-003083,,,,,,,,,,,,,,,,,,
11-01-012-00050-003084,,,,,,,,,,,,,,,,,,
