shrid2,road_award_date_new,road_award_date_upg,road_comp_date_new,road_comp_date_upg,road_comp_date_stip_new,road_comp_date_stip_upg,road_sanc_year_new,road_sanc_year_upg,road_length_new,road_length_upg,road_cost_new,road_cost_upg,road_cost_sanc_new,road_cost_sanc_upg,road_cost_state_new,road_cost_state_upg,road_name_new,road_name_upg
01-15-03-0091-00025600,,,,,,,,,,,,,,,,,,
01-15-03-0091-00025700,,,,,,,,,,,,,,,,,,
01-15-03-0091-00025900,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026000,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026100,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026200,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026300,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026400,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026500,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026600,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026700,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026800,,,,,,,,,,,,,,,,,,
01-15-03-0091-00026900,,,,,,,,,,,,,,,,,,
01-15-03-0091-00027000,,,,,,,,,,,,,,,,,,
